year	EN_LL	EN_BT	EN_REC	HG_LL	HG_BT	HG_DS	HG_REC	BP_LL	BP_BT	BP_DS	BP_REC
1900	233	108	75	474	311	223	150	211	139	100	75
1901	311	145	78	632	414	298	158	282	185	133	77
1902	311	145	81	632	414	298	165	282	185	133	79
1903	311	145	83	632	414	298	173	282	185	133	82
1904	311	145	86	632	414	298	180	282	185	133	84
1905	311	145	89	632	414	298	188	282	185	133	86
1906	311	145	92	632	414	298	196	282	185	133	88
1907	311	145	94	632	414	298	203	282	185	133	90
1908	311	145	97	632	414	298	211	282	185	133	93
1909	311	145	100	632	414	298	219	282	185	133	95
1910	311	145	103	632	414	298	226	282	185	133	97
1911	311	145	105	632	414	298	234	282	185	133	99
1912	311	145	108	632	414	298	241	282	185	133	101
1913	311	145	111	632	414	298	249	282	185	133	104
1914	311	145	114	632	414	298	257	282	185	133	106
1915	311	145	117	632	414	298	264	282	185	133	108
1916	372	172	119	754	494	354	272	337	221	158	110
1917	617	285	122	1249	820	587	279	558	366	262	112
1918	551	255	125	1118	734	526	287	499	328	235	115
1919	436	204	128	887	583	418	295	396	260	186	117
1920	508	236	130	1030	676	484	302	460	302	217	119
1921	552	257	133	1124	738	528	310	502	329	236	121
1922	588	273	136	1195	784	562	318	533	350	250	123
1923	703	327	139	1428	937	671	325	637	418	300	126
1924	805	374	142	1634	1073	768	333	730	478	343	128
1925	922	429	144	1874	1230	881	340	837	549	393	130
1926	704	328	147	1431	939	673	348	639	419	300	132
1927	870	406	150	1768	1160	831	356	790	518	371	134
1928	587	273	153	1193	783	560	363	532	349	250	137
1929	715	332	155	1451	952	682	371	648	425	304	139
1930	759	353	158	1542	1012	726	378	689	452	324	141
1931	522	243	161	1060	696	499	386	473	311	222	143
1932	532	247	164	1079	709	508	394	482	317	227	145
1933	607	285	166	1235	811	581	401	552	362	260	148
1934	671	311	169	1365	895	641	409	609	400	286	150
1935	838	390	172	1703	1118	801	416	760	499	357	152
1936	992	460	175	2013	1321	947	424	899	590	422	154
1937	879	411	178	1790	1175	841	432	799	524	376	156
1938	956	446	180	1942	1275	913	439	867	569	408	159
1939	920	429	183	1870	1228	879	447	835	548	392	161
1940	794	370	186	1612	1058	758	455	720	472	338	163
1941	744	349	189	1514	994	712	462	676	444	318	165
1942	637	297	191	1295	849	609	470	578	380	272	167
1943	695	320	194	1408	924	661	477	629	412	295	170
1944	765	354	197	1551	1018	729	485	693	455	326	172
1945	744	347	200	1513	993	711	493	675	443	318	174
1946	801	374	202	1627	1068	765	500	726	477	341	176
1947	865	404	205	1758	1154	827	508	784	514	368	178
1948	1007	469	208	2044	1342	961	515	913	599	429	181
1949	879	410	211	1787	1173	840	523	797	523	375	183
1950	770	358	214	1562	1025	734	531	698	458	328	185
1951	649	303	216	1318	866	620	538	588	386	276	187
1952	570	267	219	1158	760	545	546	517	339	243	189
1953	557	259	222	1132	742	532	554	506	331	237	192
1954	650	303	225	1321	867	621	561	589	387	277	194
1955	673	312	227	1366	896	643	569	610	400	286	196
1956	718	333	230	1459	957	685	576	652	427	307	198
1957	798	371	233	1621	1064	762	584	723	475	340	200
1958	779	361	236	1583	1039	744	592	707	464	333	203
1959	872	406	239	1772	1162	833	599	791	519	372	205
1960	1043	395	241	1787	1148	822	607	930	508	364	207
1961	1167	367	244	1713	1073	769	614	1028	471	337	209
1962	1387	381	247	1834	1126	807	622	1211	492	353	211
1963	1583	387	250	1908	1148	823	630	1374	500	358	214
1964	1753	381	252	1929	1137	814	637	1511	493	353	216
1965	1989	406	255	2083	1213	868	645	1708	524	376	218
1966	2233	433	258	2254	1299	931	653	1912	560	401	220
1967	2432	440	261	2332	1325	949	660	2076	571	408	222
1968	2723	491	263	2602	1476	1057	668	2325	635	454	225
1969	2769	584	266	2981	1748	1252	675	2383	756	542	227
1970	2142	1310	269	3421	1785	1500	683	2885	1005	0	229
1971	2856	774	275	3645	1931	1623	698	2895	1087	0	234
1972	2593	730	281	3221	1710	1436	713	2525	957	0	239
1973	2416	725	286	2986	1598	1342	727	2269	890	0	244
1974	996	1718	292	536	3320	1093	742	718	1600	287	249
1975	750	1413	298	430	2666	701	756	530	1108	341	254
1976	601	1865	304	454	3332	745	771	431	1444	298	259
1977	511	1961	309	555	3306	740	786	361	1426	286	264
1978	451	2793	315	749	4652	688	800	321	1999	258	269
1979	658	2827	321	1062	4568	597	815	442	1902	272	273
1980	660	1898	327	1032	2974	351	830	415	1198	203	278
1981	824	1984	333	1206	2911	444	844	489	1178	219	283
1982	890	1777	338	1291	2574	276	859	525	1047	125	288
1983	1714	722	344	1702	891	1019	874	457	979	27	293
1984	1357	1613	350	1576	814	1221	888	431	798	38	298
1985	1324	1302	356	1970	826	894	903	578	1347	40	303
1986	1202	758	361	1391	607	911	917	643	936	15	308
1987	698	234	367	1228	747	601	932	365	546	0	313
1988	861	311	373	1927	828	845	947	288	508	0	318
1989	963	457	379	2103	1245	638	961	194	771	0	323
1990	943	923	384	1617	1123	538	976	274	746	244	327
1991	856	325	312	1576	1033	982	868	392	489	195	305
1992	876	353	407	1978	1099	1164	1050	428	516	397	345
1993	855	444	419	1948	713	830	1090	397	503	277	354
1994	943	423	470	1654	509	744	1426	422	369	267	353
1995	1011	299	444	1527	570	681	1173	496	309	424	373
1996	1157	370	561	1219	497	677	1248	482	604	430	434
