year	region	method	value
1900	0	0	233
1901	0	0	311
1902	0	0	311
1903	0	0	311
1904	0	0	311
1905	0	0	311
1906	0	0	311
1907	0	0	311
1908	0	0	311
1909	0	0	311
1910	0	0	311
1911	0	0	311
1912	0	0	311
1913	0	0	311
1914	0	0	311
1915	0	0	311
1916	0	0	372
1917	0	0	617
1918	0	0	551
1919	0	0	436
1920	0	0	508
1921	0	0	552
1922	0	0	588
1923	0	0	703
1924	0	0	805
1925	0	0	922
1926	0	0	704
1927	0	0	870
1928	0	0	587
1929	0	0	715
1930	0	0	759
1931	0	0	522
1932	0	0	532
1933	0	0	607
1934	0	0	671
1935	0	0	838
1936	0	0	992
1937	0	0	879
1938	0	0	956
1939	0	0	920
1940	0	0	794
1941	0	0	744
1942	0	0	637
1943	0	0	695
1944	0	0	765
1945	0	0	744
1946	0	0	801
1947	0	0	865
1948	0	0	1007
1949	0	0	879
1950	0	0	770
1951	0	0	649
1952	0	0	570
1953	0	0	557
1954	0	0	650
1955	0	0	673
1956	0	0	718
1957	0	0	798
1958	0	0	779
1959	0	0	872
1960	0	0	1043
1961	0	0	1167
1962	0	0	1387
1963	0	0	1583
1964	0	0	1753
1965	0	0	1989
1966	0	0	2233
1967	0	0	2432
1968	0	0	2723
1969	0	0	2769
1970	0	0	2142
1971	0	0	2856
1972	0	0	2593
1973	0	0	2416
1974	0	0	996
1975	0	0	750
1976	0	0	601
1977	0	0	511
1978	0	0	451
1979	0	0	658
1980	0	0	660
1981	0	0	824
1982	0	0	890
1983	0	0	1714
1984	0	0	1357
1985	0	0	1324
1986	0	0	1202
1987	0	0	698
1988	0	0	861
1989	0	0	963
1990	0	0	943
1991	0	0	856
1992	0	0	876
1993	0	0	855
1994	0	0	943
1995	0	0	1011
1996	0	0	1157
1997	0	0	1200
1998	0	0	976
1999	0	0	875
2000	0	0	949
2001	0	0	915
2002	0	0	763
2003	0	0	565
2004	0	0	680
2005	0	0	629
2006	0	0	676
2007	0	0	771
2008	0	0	727
2009	0	0	702
2010	0	0	727
2011	0	0	780
2012	0	0	707
2013	0	0	707
2014	0	0	707
2015	0	0	707
2016	0	0	707
2017	0	0	707
2018	0	0	707
1900	0	1	108
1901	0	1	145
1902	0	1	145
1903	0	1	145
1904	0	1	145
1905	0	1	145
1906	0	1	145
1907	0	1	145
1908	0	1	145
1909	0	1	145
1910	0	1	145
1911	0	1	145
1912	0	1	145
1913	0	1	145
1914	0	1	145
1915	0	1	145
1916	0	1	172
1917	0	1	285
1918	0	1	255
1919	0	1	204
1920	0	1	236
1921	0	1	257
1922	0	1	273
1923	0	1	327
1924	0	1	374
1925	0	1	429
1926	0	1	328
1927	0	1	406
1928	0	1	273
1929	0	1	332
1930	0	1	353
1931	0	1	243
1932	0	1	247
1933	0	1	285
1934	0	1	311
1935	0	1	390
1936	0	1	460
1937	0	1	411
1938	0	1	446
1939	0	1	429
1940	0	1	370
1941	0	1	349
1942	0	1	297
1943	0	1	320
1944	0	1	354
1945	0	1	347
1946	0	1	374
1947	0	1	404
1948	0	1	469
1949	0	1	410
1950	0	1	358
1951	0	1	303
1952	0	1	267
1953	0	1	259
1954	0	1	303
1955	0	1	312
1956	0	1	333
1957	0	1	371
1958	0	1	361
1959	0	1	406
1960	0	1	395
1961	0	1	367
1962	0	1	381
1963	0	1	387
1964	0	1	381
1965	0	1	406
1966	0	1	433
1967	0	1	440
1968	0	1	491
1969	0	1	584
1970	0	1	1310
1971	0	1	774
